param_model__hidden_layer_sizes,param_model__alpha,param_model__learning_rate_init,mean_test_score,std_test_score
"(64, 32)",0.0001,0.001,0.690494558657836,0.013803287352322917
"(64, 32)",0.001,0.001,0.6898539588112431,0.014461232584162445
"(64, 32)",0.01,0.001,0.6889286200863307,0.012854013904239805
"(64, 32)",0.1,0.01,0.6888406599173383,0.011743407609565335
"(128, 64)",0.01,0.01,0.6879588883554734,0.0096659716942918
"(64, 32)",0.1,0.001,0.6873475592572607,0.010937024838478481
"(128, 64)",0.1,0.01,0.6873161080661389,0.010607614379645462
"(128, 64)",0.001,0.01,0.6869576708167193,0.009416635305952312
"(64, 32)",0.0001,0.01,0.6865645129500599,0.009547980318896936
"(128, 64)",0.01,0.001,0.6863341512996728,0.011329596515434918
"(128, 64)",0.0001,0.01,0.6862512165620395,0.008320522544977808
"(64, 32, 16)",0.1,0.001,0.6860480228678048,0.012007859025366115
"(32,)",0.0001,0.01,0.6859642736440346,0.01038279743450368
"(32,)",0.1,0.01,0.6858112916044193,0.01161443550560105
"(64, 32)",0.01,0.01,0.6857780555099982,0.008914436898650686
"(64, 32, 16)",0.01,0.001,0.6856718578477704,0.012164596516416704
"(128, 64)",0.0001,0.001,0.6855241914428472,0.010514994791835168
"(32,)",0.001,0.01,0.6854214187151593,0.010287706138865876
"(32,)",0.01,0.01,0.6854050625114001,0.011546425569769089
"(64, 32, 16)",0.0001,0.001,0.6853911548453888,0.012495229113214148
"(128, 64)",0.001,0.001,0.6852003222321063,0.011099480302986
"(128, 64)",0.1,0.001,0.6850435467159517,0.011091791428467982
"(64, 32, 16)",0.001,0.001,0.6850073104073257,0.012015548345930169
"(64, 32, 16)",0.1,0.01,0.6829756560278958,0.010818989902254493
"(64, 32)",0.001,0.01,0.6828482239308172,0.006989948677074708
"(64, 32, 16)",0.001,0.01,0.6824328693529884,0.01273131544862547
"(64, 32, 16)",0.01,0.01,0.6823401523242528,0.01326254125153456
"(64, 32, 16)",0.0001,0.01,0.682185552268068,0.014120999384125008
"(32,)",0.1,0.001,0.6801214378223124,0.009698237996598334
"(32,)",0.01,0.001,0.6800569850425211,0.009517558169283806
"(32,)",0.001,0.001,0.6799300327996012,0.009592455433448615
"(32,)",0.0001,0.001,0.6798245307456697,0.009398002687986039
